epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.561,0.18552,2.32467,0.9706,0.22212,0.67504,0.3112,0.31104,0.26112,1.64636,0.45968,0.0033271,0.0033271,0.0033271
2,290.066,0.14928,1.66486,0.91635,0.31211,0.62684,0.42348,0.41348,0.23182,1.44191,0.42733,0.0065945,0.0065945,0.0065945
3,430.149,0.17275,1.51443,0.91972,0.30873,0.50487,0.34472,0.30318,0.36902,1.63977,0.48115,0.00979589,0.00979589,0.00979589
4,569.348,0.1621,1.44652,0.91785,0.36477,0.60892,0.44871,0.44373,0.1521,1.36243,0.32065,0.009703,0.009703,0.009703
5,710.054,0.12897,1.36658,0.90676,0.37378,0.62936,0.47806,0.45068,0.23086,1.33733,0.39474,0.009604,0.009604,0.009604
6,849.499,0.11172,1.33338,0.89946,0.46185,0.65333,0.55747,0.55728,0.10363,1.11674,0.2514,0.009505,0.009505,0.009505
7,987.915,0.10152,1.30801,0.89855,0.52126,0.6597,0.59719,0.59475,0.12132,1.03445,0.26913,0.009406,0.009406,0.009406
8,1128.57,0.09356,1.28517,0.89612,0.51743,0.65676,0.60316,0.60128,0.13385,1.05007,0.2755,0.009307,0.009307,0.009307
9,1267.33,0.08816,1.27051,0.89623,0.53737,0.66348,0.63015,0.63,0.13705,1.04911,0.29466,0.009208,0.009208,0.009208
10,1407.56,0.08368,1.26078,0.89403,0.54122,0.69611,0.63951,0.638,0.10591,0.99354,0.25045,0.009109,0.009109,0.009109
11,1547.47,0.0793,1.2414,0.89549,0.54767,0.67915,0.65319,0.6525,0.16293,0.9998,0.30366,0.00901,0.00901,0.00901
12,1685.51,0.07638,1.23182,0.8934,0.5735,0.67666,0.65991,0.65903,0.1164,0.98067,0.25139,0.008911,0.008911,0.008911
13,1826.64,0.0724,1.2151,0.89076,0.59161,0.65764,0.6746,0.67453,0.08747,0.93624,0.22842,0.008812,0.008812,0.008812
14,1964.83,0.06988,1.2045,0.89158,0.60876,0.69407,0.70076,0.70037,0.08534,0.86464,0.2258,0.008713,0.008713,0.008713
15,2103.65,0.06939,1.20034,0.89151,0.58804,0.69746,0.69558,0.69544,0.14107,0.91107,0.27294,0.008614,0.008614,0.008614
16,2243.98,0.06774,1.18183,0.8913,0.61417,0.6914,0.711,0.71094,0.08357,0.83964,0.22009,0.008515,0.008515,0.008515
17,2384.29,0.06575,1.17456,0.88938,0.634,0.712,0.72774,0.72637,0.09667,0.81976,0.23207,0.008416,0.008416,0.008416
18,2525.87,0.06481,1.16831,0.88981,0.63289,0.71395,0.73094,0.73082,0.07033,0.80014,0.20775,0.008317,0.008317,0.008317
19,2665.42,0.06305,1.16086,0.8887,0.63187,0.71832,0.73741,0.7373,0.08186,0.78207,0.22192,0.008218,0.008218,0.008218
20,2805.38,0.06269,1.1583,0.89084,0.65695,0.68705,0.73697,0.7369,0.09901,0.81537,0.24032,0.008119,0.008119,0.008119
21,2945.54,0.0616,1.14749,0.88892,0.65841,0.70594,0.74581,0.74562,0.07165,0.80602,0.20988,0.00802,0.00802,0.00802
22,3084.95,0.05956,1.14244,0.88887,0.65685,0.71482,0.75647,0.75626,0.06803,0.76798,0.20376,0.007921,0.007921,0.007921
23,3225.42,0.05871,1.1406,0.8882,0.66628,0.71128,0.75914,0.75914,0.05841,0.76897,0.19736,0.007822,0.007822,0.007822
24,3364.94,inf,1.12582,0.88822,0.67375,0.73242,0.76629,0.76629,0.06829,0.72963,0.20519,0.007723,0.007723,0.007723
25,3503.95,0.05778,1.12924,0.88763,0.65602,0.75257,0.76839,0.76839,0.08511,0.74435,0.22105,0.007624,0.007624,0.007624
26,3644.62,0.05767,1.11705,0.88775,0.67566,0.74425,0.77488,0.77488,0.07714,0.73061,0.21321,0.007525,0.007525,0.007525
27,3784.35,inf,1.11536,0.8903,0.67419,0.74529,0.77596,0.77596,0.07691,0.72798,0.20921,0.007426,0.007426,0.007426
28,3926.97,0.05549,1.11535,0.88866,0.66983,0.7471,0.7786,0.77835,0.09379,0.75491,0.23364,0.007327,0.007327,0.007327
29,4066.49,0.05459,1.09958,0.88729,0.68397,0.72693,0.77312,0.77308,0.10766,0.76711,0.24746,0.007228,0.007228,0.007228
30,4204.54,0.05344,1.10154,0.8864,0.68328,0.75388,0.78996,0.78996,0.05326,0.68153,0.18833,0.007129,0.007129,0.007129
31,4345.65,0.05354,1.10066,0.88619,0.69825,0.738,0.79193,0.79192,0.05027,0.67771,0.18636,0.00703,0.00703,0.00703
32,4484.01,0.05215,1.09615,0.88702,0.69829,0.73904,0.7915,0.79146,0.06563,0.68853,0.2009,0.006931,0.006931,0.006931
33,4623.36,0.05298,1.0914,0.88786,0.6983,0.74162,0.79682,0.79682,0.05264,0.65801,0.18769,0.006832,0.006832,0.006832
34,4763.48,0.05266,1.09182,0.88838,0.6933,0.75101,0.80105,0.80088,0.05206,0.6706,0.18702,0.006733,0.006733,0.006733
35,4906.65,0.05192,1.08121,0.88763,0.70624,0.75732,0.80211,0.80211,0.04849,0.64902,0.18539,0.006634,0.006634,0.006634
36,5049.8,0.05146,1.08232,0.88793,0.69038,0.76871,0.80495,0.80495,0.05043,0.64909,0.18304,0.006535,0.006535,0.006535
37,5190.86,0.05095,1.07083,0.88895,0.71033,0.74542,0.80449,0.80449,0.05477,0.64813,0.18493,0.006436,0.006436,0.006436
38,5329.24,0.0502,1.07034,0.88659,0.71514,0.74872,0.80589,0.80589,0.04899,0.65739,0.18212,0.006337,0.006337,0.006337
39,5471.64,0.04878,1.06246,0.88771,0.70379,0.75907,0.80796,0.80796,0.05934,0.65469,0.18924,0.006238,0.006238,0.006238
40,5624.72,inf,1.05922,0.88682,0.70334,0.76192,0.80863,0.80863,0.04978,0.64236,0.18109,0.006139,0.006139,0.006139
41,5767.89,0.04793,1.06284,0.88653,0.70726,0.75747,0.8115,0.8115,0.04966,0.63645,0.18021,0.00604,0.00604,0.00604
42,5907.39,0.04792,1.05427,0.88539,0.71211,0.74906,0.80901,0.80901,0.07002,0.66606,0.20381,0.005941,0.005941,0.005941
43,6047.62,0.04762,1.05583,0.88625,0.70547,0.76949,0.813,0.813,0.06446,0.65307,0.19541,0.005842,0.005842,0.005842
44,6190.6,0.04692,1.04999,0.88846,0.70913,0.76401,0.81384,0.81384,0.05781,0.64236,0.18844,0.005743,0.005743,0.005743
45,6330.89,0.046,1.04287,0.88676,0.70745,0.7666,0.81348,0.81348,0.06095,0.64839,0.19155,0.005644,0.005644,0.005644
46,6470.73,0.04631,1.04235,0.88574,0.70989,0.76453,0.81165,0.81165,0.08386,0.67418,0.21742,0.005545,0.005545,0.005545
47,6617.7,0.04541,1.03887,0.88578,0.72135,0.75441,0.81616,0.81616,0.06211,0.66912,0.19385,0.005446,0.005446,0.005446
48,6792.97,0.04507,1.03908,0.88703,0.7123,0.76105,0.81447,0.81447,0.10475,0.6879,0.24227,0.005347,0.005347,0.005347
49,6974.48,0.04466,1.02728,0.88655,0.72122,0.75705,0.81447,0.81447,0.11703,0.68494,0.257,0.005248,0.005248,0.005248
50,7146.51,inf,1.0263,0.88588,0.71366,0.76206,0.81511,0.81511,0.11708,0.69167,0.25671,0.005149,0.005149,0.005149
51,7305.44,0.04336,1.02328,0.88708,0.70052,0.7797,0.81599,0.81599,0.11629,0.68148,0.25678,0.00505,0.00505,0.00505
52,7475.4,0.04387,1.02766,0.8859,0.69948,0.78577,0.81645,0.81645,0.1137,0.67904,0.25393,0.004951,0.004951,0.004951
53,7628.35,0.04311,1.02144,0.88533,0.70136,0.77897,0.81718,0.81718,0.11351,0.67857,0.25384,0.004852,0.004852,0.004852
54,7804.13,0.04323,1.01577,0.88681,0.70556,0.77595,0.81758,0.81758,0.11216,0.67548,0.25196,0.004753,0.004753,0.004753
55,7973.55,0.04397,1.01229,0.88548,0.71588,0.76621,0.81875,0.81875,0.11137,0.67173,0.25046,0.004654,0.004654,0.004654
56,8157.06,0.04211,1.01366,0.8863,0.71524,0.76296,0.81912,0.81912,0.11138,0.67168,0.2502,0.004555,0.004555,0.004555
